a bad lot,калпазанин
accomplished,завършен/образован/свършен/осъществен
accomplishment,изпълнение/способности/талант/постижение
accord,съгласие/хармония/споразумение/съгласувам(се)/отказвам/давам
accordance,съгласие/хармония/съответствие/отказване/даване
according to,според/съгласно/по/съответно
accordingly,съответно/следователно/и така
accordion,акордеон
accost,заговарям
account,сметка/отчет/баланс/описание/отговарям/считам за
account for,обяснявам/представлявам
accountable,отговорен/обясним
accountant,счетоводител
accountcurrent,текуща сметка
accoutre,обличам/снабдявам/екипирам
accoutrements,лично снаряжение
accredit,упълномощавам/приписвам/акредитирам
accrete,сраствам се/увеличавам/сраснат
accrue,нараствам се/падам се/събирам се
accumulate,натрупвам(се)
accuracy,точност/правилност
accurate,точен/правилен
accursed,проклет/прокълнат
accurst,проклет/прокълнат
accusation,обвинение
accusative,винителен(падеж)
accusatory,обвинителен
accuse,обвинявам
accustom to,свиквам/навиквам
accustomed,обичаен/привичен
accustomed to,привикнал/свикнал
ace,точка на зар или карта/асо/отличен/изключителен
acerbity,ожесточеност/сприхавост/стипчивост
acetic,оцетен
acetic silk,изкуствена коприна
ache,болка/боли/копнея
achieve,постигам/извършвам
achievement,постижение/успех/изпълнение
acid,киселина/кисел/киселинен/остър/рязък
acid test,изпитание/проба на кисела реакция
acidify,окислявам(се)
acidity,киселинност/саркастичност
acknowledge,признавам/потвърждавам
acknowledgement,признание/потвърждение/благодарност
aclimatization,аклиматизиране
acme,връхна точка/разцвет
acne,пъпки по лицето
acorn,жълъд
acquaint,запознавам/осведомявам
acquaintance,запознанство/опознаване/познат
acquiesce,съгласявам се мълчаливо/приемам
acquiescent,съгласяващ се мълчаливо/покорен
acquire,придобивам/постигам/спечелвам
acquisition,придобиване/овладяване/придобивка
acquit,оправдавам/освобождавам
acquittal,оправдаване/уреждане
acquittanse,освобождаване от задължения/квитанция
acre,акър
across,напряко/отсреща/през/отвъд/напречно
act,действувам/постъпвам/постъпка/акт/дело
acting,изпълняващ длъжността/игра
action,постъпка/акция/дейност/съдебен процес/сражение/действие
activate,активизирам
active,деен/активен/жив
active voice,деятелен залог
activity,дейност/активност
actor,артист/актьор
actress,актриса/артистка
actual,действителен/актуален/сегашен
actualities,съществуващи условия/факти
actuality,действителност/реалност/съществуващи условия/факти
actually,всъщност/в действителност/впрочем/понастоящем/наистина
actuate,подбуждам към действие/движа
acumen,проницателност
acute,остър/бърз/пронизителен
ad,реклама/обявление
adage,пословица/поговорка
adamant,елмаз/твърд/непреклонен/диамант
adapt,приспособявам/пригодявам/преработвам
adaptabiliti,приспособимост
adaptation,приспособяване/преработка/адаптация
add,прибавям/събирам
add up,събирам се/трупам се/възлизам
addendum,прибавка/допълнение
adder,усойница
addition,прибавяне/допълване/събиране/допълнение/притурка
additional,допълнителен
addle,развален/разваля се/вмирисва се/побърквам/забърквам
address,адрес/адресирам/обръщам се към
adduce,привеждам/цитирам
adept,вещ/опитен/вещо лице/адепт/привърженик
adequate,достатъчен/задоволителен/съответстващ/подходящ
adhere,прилепвам се/приближавам се/оставам верен
adhesion,прилепване/сцепление
adhesive,лепкав/леплив
adieu,сбогом/сбогуване
adipose,тлъст
adjacency,съседство
adjacent,съседен/близък/прилежащ
adjective,прилагателно/прилагателен
adjoin,допирам се до/гранича/прилагам/присъединявам
adjourn,отсрочвам/отлагам/оттеглям се
adjure,моля/заклинам
adjust,нагласявам/приспособявам/поправям/подреждам
adjuster,монтажник/монтьор
adjustment,пригодяване/приспособяване/регулиране/монтиране
administer,управлявам/предписвам
administration,управление/правителство
admirable,възхитителен/прекрасен
admiral,адмирал
admiration,възхищение
admire,възхищавам се от/почитам
admission,вход/достъп/признание/приемане/допускане
admit,признавам/допускам/позволявам
admittance,достъп/вход/разрешение за влизане
admix,примесвам се
admonish,увещавам/напомням/поучавам
admonition,увещание/приятелски съвет/забележка/напомняне
ado,шум/суетене
adobe,кирпич/кирпичен
adolescent,юношески/юноша/девойка
adopt,възприемам/осиновявам
adoption,възприемане/осиновяване
adore,обожавам
adorn,украсявам
adornment,украшение
adrift,носещ се по течението/на посоки
adroit,сръчен/изкусен
adulation,ласкателство/подмазване
adult,възрастен/пълнолетен/зрял
adultery,прелюбодеяние
adumbrate,нахвърлям в общи черти/предвещавам
advance,напредвам/успявам/повишавам/напредък/настъпление/повишение
advanced,напреднал/напредничав/преден
advantage,предимство/полза/благоприятствам/подпомагам
advantageous,изгоден
advent,идване/поява/пришествие
adventitious,добавъчен/случаен
adventure,приключение/риск/рискувам
adventurer,авантюрист
adventuress,авантюристка
adventurous,смел/рискован/пълен с приключения
adverb,наречие
adversary,противник
adversative,противоположен
adverse,враждебен/неблагоприятен
adversity,беда/несполука
advert,цитирам/обръщам внимание на
advertise,давам обявление/рекламирам
advertisement,обява/реклама
advice,съвет/мнение/съобщение/известие
advisability,разумност
advisable,препоръчителен
advise,съветвам(се)/известявам/уведомявам
adviser,съветник/консултант
advocacy,защита/пропаганда
advocate,защищавам/защитник/привърженик
aegis,егида/защита
aerial,антена/въздушен/атмосферен/нереален
aerie,орлово гнездо
aeroplane,самолет
aesthete,естет
affable,приветлив/любезен
affair,работа/дело/въпрос/схватка/занятие/търговия
affect,засягам/въздействувам/преструвам се/предпочитам
affectation,преструване/престореност
affected,престорен
affection,обич/привързаност/болест/склонност
affectionate,любящ/привързан/нежен
affective,чувствителен/изразяващ чувства
afferent,центростремителен
affiance,вричам/сгодявам/доверие/годеж
affidavit,доброволно писмено показание под клетва
affiliate,осиновявам/присъединявам(се)/клон/помощник
affinity,роднинство/родственост/душевно сходство/влечение/притегляне
affirm,потвърждавам/твърдя
affirmation,потвърждение/уверение
affix,прикрепям/слагам/прибавям/прибавка/приставка
afflict,измъчвам/огорчавам/сполитам
affluence,приток/наплив/изобилие/охолство
affluent,охолен/приток на река
afflux,прилив/приток
afford,давам/доставям/принасям/позволявам си/мога да купя
afforest,залесявам
affranchize,освобождавам
affray,публичен скандал/сбиване/сблъскване/сплашвам/изплашвам
affront,оскърбявам/обиждам/обида/оскърбление
afield,на полето/надалече/на бойното поле/на война
aflame,в пламъци/пламнал
afloat,плуващ/по море/без дългове
afoot,пеша/на крак/в движение
afore,отпред/напред/пред/преди
aforetime,преди/някога
afraid,изплашен/уплашен
afresh,отново/наново
aft,назад
after,след/зад/според/за/относно/после/на/след като/следващ/заден
after a manner,по някакъв начин/както и да е
after all,в края на краищата
after-time,бъдеще
afterglow,вечерна заря/вечерно сияние
aftermost,най-заден
afternoon,следобед
afterwards,после/след това
again,отново/пак/пък/освен това
against,против/срещу/на/към/за/на/в/о
agape,зяпнал
agate,ахат
agaze,изумен/слисан
age,век/възраст/период/старея/състарявам(се)/отлежавам
age less,вечен/който не остарява
age-old,вековен
agency,представителство/агенция/бюро/средство/посредничество/съдействие
agenda,дневен ред/бележник
agent,фактор/действуваща сила/оръдие/агент/представител
agglomerate,натрупвам се накуп/агломерат/сбит/слепнал
agglutinate,слепвам/ставам на клей/слепен/залепен
aggrandize,увеличавам/разширявам/възвеличавам
aggravate,влошавам/утежнявам
aggregate,събран/общ/цял/съвкупност/съединение/агрегат/присъединявам/събирам(се)
aggression,агресия/нападение
aggrieve,увреждам/онеправдавам/накърнявам/огорчавам
aghast,ужасен/слисан
agile,подвижен/чевръст
agility,подвижност
agitate,вълнувам/възбуждам/обсъждам/разклащам/размествам
aglow,разгорещен/нажежен/възбуден/горящ/пламенно
ago,преди
agog,възбуден/в напрегнато очакване
agonize,агонизирам/полагам отчаяни усилия/измъчвам се
agony,агония/силна мъка
agrarian,аграрен/земеделски
agree,съгласявам се/установявам се/съответствам
agreeable,приятен/съгласен/подходящ
agreement,съгласие/спогодба/съответствие
agricultural,земеделски/селски
agriculture,земеделие/агрономия
agronomy,агрономия
agrosy,търговски кораб
ague,треска/малария/тръпки
aguish,маларичен/болен от малария
ahead,напред/отпред
aid,помагам/подпомагам/помощ/подкрепа/помощник
aii-ground,жив/между живите
ail,боли/безпокои
ailing,болен/болнав
ailment,болест/страдание
aim,домогвам се/стремя се/целя се/прицелвам се/цел/намерение
aim at,прицелвам се в
aimless,безцелен/безсмислен
air,въздух/полъх/лъх/вид/изглед/въздушен/авиационен/проветрявам
air forse,военновъздушни сили
air mail,въздушна поща
air-hostess,стюардеса
air-proof,херметически/напълно издържан/необорим
air-raid,въздушно нападение
air-route,въздушен път
air-tight,херметически/пиян/оскъден/недостатъчен
air-way,въздушен път/вентилационна галерия
aircraft,самолет
aircraft carrier,самолетоносач
airfield,летище
airily,леко/въздушно/безгрижно
airing,проветряване/разходка/сушене на дрехи на открито
airline,въздушна линия
airplane,самолет
airport,летище
airraid,въздушно нападение
airship,дирижабъл/цепелин
airy,въздушен/лек/весел/лекомислен
aisle,пътека между редовете в зала
ajar,открехнат
akimbo,с ръце на кръста
akin,сроден/близък
alacrity,живост/пъргавост/веселост/готовност/усърдие
alarm,тревога/уплаха/вълнение/тревожа/безпокоя
alarm clock,будилник
alas,уви
albumen,белтък/белтъчно вещество/албумин
alcohol,алкохол/спирт
alcove,ниша/беседка
alderman,член на градски съвет/управител
ale,бира
alert,бдителен/нащрек/бърз/чевръст
alfalfa,люцерна
algebra,алгебра
alias,псевдоним/прозвище
alibi,алиби
alien,чужд/несвойствен/чужденец/отчуждавам
alight,слизам от/кацвам/горящ/запален/осветен
align,строявам/нареждам
alike,подобен/еднакъв/подобно
alimentary,хранителен
alimony,издръжка
alive,жив/бодър/чувствителен към/оживен/гъмжащ
all,всички/цял/всеки/всичко/напълно/съвсем
all along,през всичкото време/открай-докрай
all at once,изведнъж/внезапно
all but,току-речи/почти/едвам не/всички освен
all but one,всички с изключение на един
all in good time,всяко нещо с времето си
all manner of,всякакви
all of a piece,от едно и също качество/целият еднакъв/хармонира
all of a sudden,внезапно
all over,навсякъде/свършено/съвсем
all over the world,из целия свят
all right,добре/вярно/да/разбира се
all suspicion,вън от всяко подозрение
all the better,толкова по-добре
all the go,на мода/по модата
all the more that,толкова повече че
all the same,все пак
all the way,по целия път
all the way from,чак от
all told,като се вземе пред вид всичко/всичко на всичко
all-board,честно/открито/откровен/честен
all-overish,неразположен
all-round,навсякъде/от всички страни
allay,успокоявам/уталожвам/ослабям/намалявам/унищожавам/облекчавам
allege,твърдя/извинявам се
allegiance,вярност/преданост
allegory,алегория/символ/емблема
alleviate,облекчавам
alley,тясна уличка/алея/пътека/съюзявам се
alliance,съюз/брак/връзка
allianced,родствен
allied,сроден/съюзнически/подобен
alligation,сплав/смес
allocate,определям/отпускам
allot,разпределям по жребий/раздавам/предназначавам
allotment,разпределение/дял
allow,позволявам/допускам/признавам/вземам под внимание/правя отстъпка
allowance,издръжка/отстъпка/разрешение
alloy,примес/сплав/проба/смесвам/влошавам
allthere,с ума си/нормален
alludde,споменавам/загатвам
alluminium,алуминий
allure,примамвам/изкушавам
allurement,чар/примамка
alluring,съблазнителен
alluvial,наносен
ally,съюзявам се/свързвам се/съюзник/топче за игра
almanac,календар/алманах
almighty,всемогъщ/голям/краен/много/ужасно
almond,бадем
almost,почти
alms,милостиня
aloft,нанагоре/нависоко
alone,сам/самотен/усамотен/единствен/без чужда помощ
along,напред/по/покрай/по-нататък/заедно с
aloof,настрана/надалеч/отделно/сдържан
aloofness,отчужденост/обособеност
aloud,високо/гласно/на глас
alp,високопланинска поляна
alphabet,азбука
alphabetically,по азбучен ред
already,вече/преди това/досега
also,също/при това/освен това/и/също и/така също
altar,олтар
alter,променям(се)/преправям
altercate,споря/заяждам се
alternate,редувам(се)/сменям се/периодичен/редуващ се
alternating,редуващ(се)/променлив
alternation,редуване/смяна
alternative,алтернатива/втора възможност/избор/алтернативен
althoug,макар че/въпреки че/при все че
altitude,надморска височина/височина
altogether,напълно/съвсем/цялостно/общо взето/цяло/цялост
alum,стипца
alumnus,(бивш)питомец/възпитаник
alveolar,алвеоларен
always,винаги/все
am,съм
amalgamate,смесвам(се)/съединявам(се)
amass,натрупвам
amassment,натрупване
amateur,любител/дилетант/любителски/самодеен
amaze,учудвам/удивлявам/изумление/удивление
amazement,удивление/силно учудване/недоумение
amazing,удивителен/чуден/поразителен
ambassador,посланик/представител/посредник
amber,кехлибар
ambient,околен/обкръжаващ
ambiguity,двусмисленост/неяснота
ambition,амбиция/честолюбие/цел
ambitious,амбициозен/смел
amble,вървя полека
ambulance,военна болница/санитарна кола/линейка
ambulatory,странствуващ/подвижен/ходещ
ambuscade,засада/прикритие/прикривам/нападам из засада
ambush,засада/капан
ameliorate,подобрявам/облекчавам
amenable,отговорен/подсъден/податлив/отзивчив
amend,поправям/изменям
amendment,поправка/изменение/подобрение
amiability,любезност
amiable,любезен/отзивчив/симпатичен
amicability,приятелски отношения/разбирателство
amicable,приятелски
amid,сред/между/посред
amiss,погрешно/не на място
amity,дружелюбие
ammunition,муниции
among,сред/между/у
amongst,сред/между/у
amorous,влюбен/влюбчив/любовен
amorphous,безформен/некристализирал/аморфен
amount,възлизам на/равнявам се на/сума/количество/размер
amount to,възлизам на
amphibian,земноводно животно/земноводен
ample,обилен/предостатъчен/широк/пълен
amplifier,усилвател/увеличител
amputate,ампутирам/отрязвам
amuse,забавлявам/разсмивам
amusement,забавление/развлечение/развеселеност/забава
amusing,забавен/занимателен
an,един/една/едно
anaesthesia,безчувствено състояние
analyse,анализирам/разлагам
analysis,анализ/разбор/резюме
anarchy,анархия
anatomic,анатомически
anatomical,анатомически
anatomize,дисецирам/анализирам
ancestor,праотец/предшественик
anchor,котва/желязна скоба/закотвям/закрепвам
anchoret,отшелник/пустинник/саможивец
anchovy,аншоа
ancient,древен/стар
ancillary,спомагателен/служебен
and,и/а/но/и също
anecdote,анекдот/епизод/случка
anew,отново/пак
angel,ангел
anger,гняв/ядосвам
angle,ъгъл/гледна точка/въдица/ловя риба
angry,сърдит/ядосан
anguish,болка/мъка/тревога
angular,ъглест/ръбат/костелив/свадлив
angularity,ъгловатост/ръбатост/недодяланост
animadversion,порицание/укор
animal,животно/животински
animate,оживявам/стимулирам/жив/оживен
animation,оживление/одушевление
animosity,враждебност
animus,предубеждение/враждебност
anise,анасон/анасонов
ankle,глезен на крак
annals,летопис/анали/хроника
anneal,закалявам
annex,присъединявам/анексирам
annexation,присъединяване
annihilate,унищожавам/изтребвам
anniversary,годишнина
annotation,коментар
annotator,коментатор
announce,съобщавам/обявявам
announcement,известие/съобщение/обява
annoy,безпокоя/дразня/досаждам/закачам/досада
annoyance,досада/раздразнение/неприятност
annoying,досаден/дразнещ
annual,годишен/ежегоден/годишник
annuity,годишна рента/доход/лихва
annul,анулирам/отменям
annular,пръстеновиден/с пръстени
annunciation,съобшение/благовещение
anoint,намазвам/помазвам
anomalous,неправилен
anon,веднага/тозчас
anonymous,анонимен
another,друг/различен
answer,отговор/отговарям
answerable,отговорен/съответен
ant,мравка
antagonism,вражда/противоречие
ante meridiem,преди обед
ante-meridiem,преди пладне
antechamber,преддверие/чакалня
anterior,предшестващ/преден
antetype,прототип
anthem,химн
anthill,мравуняк
anthrax,синя пришка/антракс
anthropoid,човекоподобен
antic,странен/гримаси/лудории
anticipate,предвиждам/очаквам/изпреварвам
anticlimax,проваляне/разочарование/незадоволителен завършък
antidote,противоотрова
antimacassar,покривчица
antipathy,антипатия
antipode,антипод
antiquarian,археологичен/антикварен
antiquary,археолог
antiquated,остарял/старомоден
antique,старинен/античен/старомоден/старинна вещ/антика
antithesis,антитеза/контраст
antler,еленов рог
antonym,антоним
anvil,наковалня
anxiety,безпокойство/страх/желание
anxious,горящ от желание/обезпокоен/загрижен/нетърпелив
any,някакъв/някой/всеки/кой и да е/малко
any one,всеки/който и да е
anybody,някой/всеки/който и да е
anyhow,във всеки случай/както и да е/така или иначе
anyone,някой/всеки/който и да е/никой
anything but that,всичко друго но не и това
anyting,нещо/нищо/каквото и да е/всичко
anyway,във всеки случай/както и да е
anywhere,навсякъде/където и да е
apace,скоро/бързо
apart,настрана/отделно
apart from,настрана/отделно/освен
apartheid,расова сегрегация
apartment,стая/квартира/апартамент
apathy,безразличие/апатия/мудност/нечувствителност
ape,маймуна
aperient,разхлабително/очистително
aperture,отвор
apex,връх/връхна точка
apiarist,пчелар
apices,върхове
apiece,на парче/на човек
apish,маймунски/глупав
apogee,апогей
apologetic,извиняващ се/оправдаващ се/примирителен/защитен
apologize,извинявам се
apology,извинение/защита
apoplectic,апоплектичен
apostasy,отстъпничество/измяна
apostle,апостол/пратеник/борец
apostrophe,обръщение/апостроф
apothecary,аптекар/лекар
appal,ужасявам
apparatus,апарат/инструмент/уред/апаратура/система
apparel,облекло/обличам/снабдявам
apparent,явен/очевиден/видим/несъмнен
apparently,сякаш/като че ли/изглежда/очевидно
apparition,появяване/видение/призрак
appeal,моля/апелирам/привличам/зова/харесвам се/призив/молба/привлекателност
appear,появявам се/изглеждам
appearance,появяване/изглед/външност/вид
appease,успокоявам/омиротворявам/помирявам/уталожвам
appellation,название/прозвище
appellative,нарицателен
append,прибавям/прилагам/окачвам
appendicitis,апендисит
appendix,добавка/приложение/придатък/апендикс
apperception,възприятие
appertain,принадлежа/отнасям се
appetence,желание/охота
appetite,апетит/влечение/желание
applaud,одобрявам/ръкопляскам/аплодирам
applause,ръкопляскане/аплодисменти/одобрение/похвала
apple,ябълка
appliance,уред/приспособление/приложение/употреба
applicability,приложимост/годност
applicable,приложим/употребим
application,заявление/молба/приложение/употреба/прилежание
apply,прилагам/употребявам/обръщам се/отнасям се
appoint,назначавам/определям/нареждам/решавам/организирам
appointment,назначение/служба/място/пост/свиждане/определена среща/решение/нареждане
apportion,разпределям
apposite,подходящ/на място
appraise,оценявам/преценявам
appreciate,оценявам/ценя високо/благодарен съм за/разбирам от
appreciateble,оценим/забележим/чувствителен
appreciation,оценка/признателност/преценяване/разбиране
apprehend,схващам/долавям/арестувам/предчувствувам/опасявам се
apprehensible,понятен
apprehension,схватливост/схващане/опасение/арест
apprehensive,съобразителен/възприемчив
apprentice,чирак/новак
apprenticeship,чирачество
apprise,уведомявам за
approach,приближавам се/доближаване/близост/достъп/подход
approachable,достъпен
approbate,одобрявам
appropriate,подходящ/съответен/присвоявам(си)/предназначавам/определям
approval,одобрение/преценка/санкция
approve,одобрявам/утвърждавам
approximate,приблизителен/близък/приближавам(се)/равнявам се
approximately,приблизително/почти
appurtenance,прибавка/принадлежност
apricot,кайсия
apron,престилка
apropos,между другото/навременен/подходящ
apt,склонен/уместен/способен/подходящ
aquarium,аквариум
aquedukt,водопровод/канал
arab,арабин/арабски кон/арабски
arable,орна(земя)
arbour,градинска беседка
arc,волтова дъга
arcade,галерия със сводове/пасаж
arch,арка/свод/извивам/дяволит
archaeology,археология
archaic,старинен
archipelago,архипелаг
architect,архитект/строител
architecture,архитектура
archives,архива
arctic,полярен/северен
ardent,пламенен/ревностен
arduous,труден
are,са/сме
area,площ/повърхнина/пространство/област/район/обсег
argil,грънчарска глина
argot,жаргон
arguable,за който може да се спори
argue,споря/разисквам/убеждавам/доказвам
argument,довод/доказателство/спор/обсъждане/резюме
argumentation,аргументация
argumentative,който обича да спори/логичен/спорен
arid,безводен/сух
aridity,безводие/сухост
aright,правилно
arise,надигам се/възниквам
arisen,надигнат/възникнал
aristocracy,аристокрация
arithmetic,аритметика/аритметичен
ark,сандък/ковчег
arm,ръка/ръкав/въоръжавам
armament,въоръжение/въоръжаване
armature,въоръжение/броня/арматура
armchair,кресло
armed,въоръжен
armful,наръч/хватка
armistice,примирие
armour,броня/въоръжение/бронирам
armour-bearer,оръженосец
armour-clad,брониран/блиндиран
armoured,брониран/блиндиран
armoury,арсенал/оръжеен завод
armpit,подмишница
army,войска/армия/военен/армейски
arose,възникнах/надигнах се
around,наоколо/около/из/по/към
arouse,будя/възбуждам/предизвиквам
arraign,обвинявам/поставям под съмнение
arraignment,обвинеие
arrange,уреждам/нареждам/подреждам/приспособявам/организирам
arrangement,спогодба/уреждане/подреждане
arrant,същински/явен
arras,гоблен/завеса
array,подреждам в боен ред/обличам се/боен ред/войска
arrear,недобор
arrest,арестувам/задържам/задържане/спиране/арест
arresting,спирачен/задържащ
arrival,пристигане
arrive,пристигам/стигам/достигам
arrogance,високомерие/надменност
arrow,стрела/стрелка
arson,палеж
art,изкуство/хитрина/умение/сръчност
artful,сръчен/хитър
artfulness,безизкусен/простодушен/неподправен/непохватен
artial road,магистрала
article,статия/член/предмет/параграф
articulate,членоразделен/ясен/отчетлив/разбираем/членест
artifice,хитрина/измама/изобретение
artificer,занаятчия/майстор
artificial,изкуствен/неестествен
artillery,артилерия
artisan,занаятчия
artist,художник
artistic,артистичен/художествен/изящен
as,като/както/докато/тъй като
as a matter of fact,фактически
as a rule,обикновено
as cool as cucumber,съвсем спокоен/равнодушен
as far as,до/доколкото/докъдето
as far as the eye can reach,додето ти виждат очите
as far back as,още през
as for me,що се отнася до мене
as good as,все едно/почти
as it is,както стои(въпросът)/и без това
as it were,така да се каже
as long as,щом като
as luck would have it,не щеш ли
as though,като че ли/сякаш
as usual,както винаги/според обичая си
as well,също/също така
as yet,досега
ascend,възкачвам се/издигам се/изкачвам се
ascension,възкачване/възход
ascent,изкачване/възход/пътека/склон
ascertain,установявам/изяснявам/проверявам/убеждавам се
ascribe,приписвам
ascription,приписване
ash,пепел/ясен(дърво)
ash-tray,пепелник
ashamed,засрамен
ashbin,кофа за смет
ashen,пепеляв(цвят)/мъртвешки блед/ясенов
